Bug_id, Number of Functions, total cyclomatic complexity, total lines of code,total token_count,total parameters
105648,8.0,11.0,31.0,140.0,6.0
61950,4.714285714285714,10.714285714285714,32.42857142857143,189.57142857142858,2.7142857142857144
50323,18.0,71.0,357.0,2148.0,8.0
101434,14.75,47.75,203.5,1217.25,16.75
93674,22.166666666666668,55.0,196.5,1175.1666666666667,17.0
88791,14.0,48.0,233.0,1621.0,12.0
103379,17.0,48.0,167.0,922.0,13.0
100889,12.0,17.0,53.0,288.0,5.0
66616,3.0,5.0,18.0,94.0,4.0
69892,26.0,43.0,147.0,860.0,19.0
102911,17.5,102.0,542.0,3815.0,15.0
71946,7.0,11.0,92.0,820.0,6.0
100156,23.0,63.0,309.0,1998.0,20.0
76714,11.0,25.0,135.0,861.0,24.0
101569,8.0,13.0,89.125,596.125,7.0
101350,11.0,33.0,168.0,1152.0,7.0
100737,218.0,679.0,2480.0,15461.0,194.0
101152,21.0,58.0,234.0,1480.0,9.0
101248,6.0,8.333333333333334,44.5,263.8333333333333,4.166666666666667
81422,4.5,4.5,17.0,87.5,2.0
101138,0,0,0,0,0
