file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
249851,f259e9a,,15.666667,0.0,0.0,0.0,41.333332,2.3333333,0.0,46.333332,52.0,0.5336508,0.40202022,1.2060606,11.0,0.0,4.3333335,3.0,3.3333333,0.33333334,0,0.0,0.33333334,0.0,9.333333,2.6666667,0.0,6.3333335,2.3333333,0.6666667,3.0,0.0,0.6666667,211.66667,9.333333,4.0,16.0,0.0,3.3333333,2.6666667,26.0,50.0,7.3333335,39.666668,3.6666667,3.3333333,0.33333334,0.0,77.666664,1.0,0.0
211433,8ffd765,,24.6,0.0,0.0,0.0,40.4,2.8,0.0,48.4,94.2,0.52954686,0.165,1.4404762,14.4,0.4,9.8,3.8,0.8,0.0,0,0.0,1.6,0.0,10.2,5.4,0.2,10.0,0.0,0.0,5.0,0.0,1.8,402.2,4.4,6.2,8.2,0.8,3.0,14.0,17.2,99.6,3.2,78.0,2.8,7.2,1.2,0.0,148.4,4.2,0.0
202057,b2df11f,,129.0,0.0,0.0,0.0,323.0,2.0,0.0,257.0,6619.0,0.9792374,0.010759493,0.011392405,118.0,6.0,65.0,38.0,4.0,11.0,0,0.0,11.0,0.0,40.0,7.0,1.0,37.0,0.0,2.0,6.0,0.0,11.0,1910.0,116.0,28.0,89.0,14.0,9.0,20.0,98.0,313.0,11.0,259.0,8.0,58.0,1.0,0.0,642.0,17.0,0.0
255576,37c5578,,17.0,0.0,0.0,0.0,21.0,2.0,0.0,21.0,48.0,0.65384614,0.09090909,0.09090909,13.0,1.0,8.0,1.0,4.0,0.0,0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0,18.0,0.0,7.0,0.0,0.0,1.0,0.0,12.0,0.0,10.0,1.0,1.0,0.0,0.0,125.0,1.0,0.0
258177,04c373c,,13.0,0.0,0.0,0.0,47.0,1.0,0.0,32.0,207.0,0.9285714,0.073529415,0.15441176,22.0,0.0,7.0,5.0,2.0,8.0,0,0.0,0.0,4.0,14.0,3.0,0.0,2.0,0.0,12.0,3.0,0.0,1.0,322.0,27.0,0.0,18.0,0.0,0.0,0.0,4.0,29.0,0.0,26.0,2.0,3.0,0.0,0.0,171.0,1.0,0.0
222556,012534a,,13.0,0.0,0.0,0.0,6.0,2.3333333,0.0,8.333333,6.6666665,0.26041666,0.11111111,0.6666667,4.0,0.6666667,1.6666666,0.6666667,1.3333334,0.33333334,0,0.0,0.0,0.0,2.6666667,1.0,0.0,2.6666667,0.0,0.0,1.0,0.0,0.0,79.0,2.0,0.33333334,0.6666667,0.0,0.33333334,1.3333334,2.3333333,5.6666665,0.0,4.6666665,0.33333334,1.3333334,1.0,0.0,49.333332,1.0,0.0
241877,1e357e8,,8.0,0.0,0.0,0.0,15.0,2.0,0.0,18.0,15.0,0.71428573,0.14285715,0.14285715,7.0,1.0,3.0,0.0,4.0,0.0,0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,64.0,6.0,0.0,7.0,0.0,1.0,2.0,0.0,16.0,0.0,10.0,3.0,0.0,0.0,0.0,135.0,1.0,0.0
248943,96e0e21,,13.0,0.0,0.0,0.0,35.0,1.0,0.0,35.0,0.0,0.65625,0.55241936,0.9375,32.0,0.0,32.0,0.0,0.0,0.0,0,0.0,25.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,121.0,22.0,0.0,2.0,1.0,0.0,3.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,152.0,17.0,0.0
230449,0669ae0,,27.0,0.0,0.0,0.0,60.0,1.0,0.0,71.0,253.0,0.9038461,0.225,0.38333333,26.0,1.0,15.0,10.0,1.0,0.0,0,0.0,1.0,0.0,12.0,4.0,0.0,12.0,0.0,0.0,4.0,0.0,2.0,358.0,14.0,4.0,16.0,4.0,1.0,6.0,5.0,55.0,0.0,51.0,5.0,7.0,0.0,0.0,163.0,1.0,0.0
273147,a0bfb92,,8.0,0.0,0.0,0.0,28.0,2.0,0.0,41.0,44.0,0.7083333,0.10714286,0.10714286,12.0,0.0,5.0,4.0,0.0,3.0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,131.0,14.0,2.0,4.0,1.0,0.0,4.0,5.0,10.0,0.0,9.0,4.0,1.0,0.0,0.0,140.0,1.0,0.0
